Plot,N.Rate,Rep,Sample.no,Full.name,Substrate,CO2,Abs_no_water
R3.6,400,6,5278,Fumaric.acid,Fum,0.757106772,0.3909
R4.1,500,1,5255,Fumaric.acid,Fum,0.584587435,0.2919
R4.2,500,2,5261,Fumaric.acid,Fum,0.536467723,0.2193
R4.3,500,3,5267,Fumaric.acid,Fum,0.486997233,0
R4.4,500,4,5271,Fumaric.acid,Fum,0.366111822,0.0516
R4.5,500,5,5275,Fumaric.acid,Fum,0.622665989,0.312
R4.6,500,6,5279,Fumaric.acid,Fum,0.569393924,0.2003
R0.1,0,1,5250,g.Aminobutyric.acid,GABA,0.509363993,0.1521
R0.2,0,2,5256,g.Aminobutyric.acid,GABA,0.533432235,0.1618
R0.3,0,3,5262,g.Aminobutyric.acid,GABA,0.436337795,0.1615
R0.4,0,4,5263,g.Aminobutyric.acid,GABA,0.459138761,0.2008
R0.5,0,5,5251,g.Aminobutyric.acid,GABA,0.522898415,0.185
R0.6,0,6,5257,g.Aminobutyric.acid,GABA,0.521365077,0.15
R1.1,200,1,5252,g.Aminobutyric.acid,GABA,0.572717986,0.2916
R1.2,200,2,5258,g.Aminobutyric.acid,GABA,0.56212448,0.2403
R1.3,200,3,5264,g.Aminobutyric.acid,GABA,0.475013561,0.24
R1.4,200,4,5268,g.Aminobutyric.acid,GABA,0.404626668,0.1694
R1.5,200,5,5272,g.Aminobutyric.acid,GABA,0.42177019,0.2059
R1.6,200,6,5276,g.Aminobutyric.acid,GABA,0.473534968,0.1948
R2.1,300,1,5253,g.Aminobutyric.acid,GABA,0.457216924,0.1748
R2.2,300,2,5259,g.Aminobutyric.acid,GABA,0.510425729,0.1673
R2.3,300,3,5265,g.Aminobutyric.acid,GABA,0.422129705,0.1842
R2.4,300,4,5269,g.Aminobutyric.acid,GABA,0.437815621,0.1947
R2.5,300,5,5273,g.Aminobutyric.acid,GABA,0.433305355,0.1505
R2.6,300,6,5277,g.Aminobutyric.acid,GABA,0.484778869,0.2256
R3.1,400,1,5254,g.Aminobutyric.acid,GABA,0.548240936,0.2215
R3.2,400,2,5260,g.Aminobutyric.acid,GABA,0.407475899,0.0211
R3.3,400,3,5266,g.Aminobutyric.acid,GABA,0.429684481,0.183
R3.4,400,4,5270,g.Aminobutyric.acid,GABA,0.520428363,0.2863
R3.5,400,5,5274,g.Aminobutyric.acid,GABA,0.47200704,0.1994
R3.6,400,6,5278,g.Aminobutyric.acid,GABA,0.508296194,0.2081
R4.1,500,1,5255,g.Aminobutyric.acid,GABA,0.499938452,0.224
R4.2,500,2,5261,g.Aminobutyric.acid,GABA,0.464604422,0.1613
R4.3,500,3,5267,g.Aminobutyric.acid,GABA,0.452072047,0
R4.4,500,4,5271,g.Aminobutyric.acid,GABA,0.362781698,0.0445
R4.5,500,5,5275,g.Aminobutyric.acid,GABA,0.45630353,0.1735
R4.6,500,6,5279,g.Aminobutyric.acid,GABA,0.574878204,0.2019
R0.1,0,1,5250,D.Galactose,Gala,0.844659071,0.3441
R0.2,0,2,5256,D.Galactose,Gala,0.88148513,0.3504
R0.3,0,3,5262,D.Galactose,Gala,0.795321834,0.4586
R0.4,0,4,5263,D.Galactose,Gala,0.814298638,0.4847
R0.5,0,5,5251,D.Galactose,Gala,1.235874737,0.4512
R0.6,0,6,5257,D.Galactose,Gala,0.976378246,0.3479
R1.1,200,1,5252,D.Galactose,Gala,0.72503007,0.377
R1.2,200,2,5258,D.Galactose,Gala,0.810663033,0.3641
R1.3,200,3,5264,D.Galactose,Gala,0.727631228,0.4564
R1.4,200,4,5268,D.Galactose,Gala,0.797320025,0.2043
R1.5,200,5,5272,D.Galactose,Gala,0.380324243,0.1275
R1.6,200,6,5276,D.Galactose,Gala,0.8197149,0.4436
R2.1,300,1,5253,D.Galactose,Gala,0.67629901,0.3691
R2.2,300,2,5259,D.Galactose,Gala,0.74148351,0.3204
R2.3,300,3,5265,D.Galactose,Gala,0.821715823,0.5323
R2.4,300,4,5269,D.Galactose,Gala,0.755921574,0.4731
R2.5,300,5,5273,D.Galactose,Gala,0.813897461,0.4322
R2.6,300,6,5277,D.Galactose,Gala,0.840035006,0.4818
R3.1,400,1,5254,D.Galactose,Gala,0.893619265,0.4047
R3.2,400,2,5260,D.Galactose,Gala,0.726186942,0.2793
R3.3,400,3,5266,D.Galactose,Gala,0.651930589,0.3928
R3.4,400,4,5270,D.Galactose,Gala,0.50927046,0.3093
R3.5,400,5,5274,D.Galactose,Gala,0.816313953,0.4489
R3.6,400,6,5278,D.Galactose,Gala,1.043358114,0.4662
R4.1,500,1,5255,D.Galactose,Gala,0.669310297,0.3478
R4.2,500,2,5261,D.Galactose,Gala,0.645530829,0.3376
R4.3,500,3,5267,D.Galactose,Gala,0.79500362,0
R4.4,500,4,5271,D.Galactose,Gala,0.733987035,0.4301
R4.5,500,5,5275,D.Galactose,Gala,0.753585737,0.4189
R4.6,500,6,5279,D.Galactose,Gala,0.922166977,0.419
R0.1,0,1,5250,D.Glucose,Gluc,1.14515054,0.4294
R0.2,0,2,5256,D.Glucose,Gluc,0.92860842,0.3524
R0.3,0,3,5262,D.Glucose,Gluc,1.009653792,0.5502
R0.4,0,4,5263,D.Glucose,Gluc,0.81488281,0.4759
R0.5,0,5,5251,D.Glucose,Gluc,1.186990439,0.4399
R0.6,0,6,5257,D.Glucose,Gluc,0.604516332,0.3503
R1.1,200,1,5252,D.Glucose,Gluc,0.91239016,0.4557
R1.2,200,2,5258,D.Glucose,Gluc,0.849149223,0.4085
R1.3,200,3,5264,D.Glucose,Gluc,0.707212562,0.4376
R1.4,200,4,5268,D.Glucose,Gluc,0.655359781,0.1848
R1.5,200,5,5272,D.Glucose,Gluc,0.579806641,0.3848
R1.6,200,6,5276,D.Glucose,Gluc,0.814749773,0.4377
R2.1,300,1,5253,D.Glucose,Gluc,0.685980291,0.3741
R2.2,300,2,5259,D.Glucose,Gluc,0.713330977,0.3449
R2.3,300,3,5265,D.Glucose,Gluc,0.678447946,0.4578
R2.4,300,4,5269,D.Glucose,Gluc,0.836280023,0.5052
R2.5,300,5,5273,D.Glucose,Gluc,0.418224257,0.123
R2.6,300,6,5277,D.Glucose,Gluc,0.448486901,0.1917
R3.1,400,1,5254,D.Glucose,Gluc,1.207657282,0.4712
R3.2,400,2,5260,D.Glucose,Gluc,0.820690738,0.3273
R3.3,400,3,5266,D.Glucose,Gluc,0.69623168,0.4163
R3.4,400,4,5270,D.Glucose,Gluc,0.669457918,0.4395
R3.5,400,5,5274,D.Glucose,Gluc,0.765397718,0.4226
R3.6,400,6,5278,D.Glucose,Gluc,1.000460562,0.4687
R4.1,500,1,5255,D.Glucose,Gluc,0.844032079,0.4375
R4.2,500,2,5261,D.Glucose,Gluc,0.523654046,0.2596
R4.3,500,3,5267,D.Glucose,Gluc,0.627275382,0
R4.4,500,4,5271,D.Glucose,Gluc,0.731953849,0.434
R4.5,500,5,5275,D.Glucose,Gluc,0.815715973,0.4479
R4.6,500,6,5279,D.Glucose,Gluc,0.832205721,0.3852
R0.1,0,1,5250,L.lysine.hydrochloride,Lys,0.517526968,0.1588
R0.2,0,2,5256,L.lysine.hydrochloride,Lys,0.450291741,0.0737
R0.3,0,3,5262,L.lysine.hydrochloride,Lys,0.404549669,0.1072
R0.4,0,4,5263,L.lysine.hydrochloride,Lys,0.412486965,0.1261
R0.5,0,5,5251,L.lysine.hydrochloride,Lys,0.437828712,0.0996
R0.6,0,6,5257,L.lysine.hydrochloride,Lys,0.480130208,0.1263
R1.1,200,1,5252,L.lysine.hydrochloride,Lys,0.443281569,0.1471
R1.2,200,2,5258,L.lysine.hydrochloride,Lys,0.422728245,0.1456
R1.3,200,3,5264,L.lysine.hydrochloride,Lys,0.389790507,0.1098
R1.4,200,4,5268,L.lysine.hydrochloride,Lys,0.378301441,0.1182
R1.5,200,5,5272,L.lysine.hydrochloride,Lys,0.374724886,0.1236
R1.6,200,6,5276,L.lysine.hydrochloride,Lys,0.432026203,0.1391
R2.1,300,1,5253,L.lysine.hydrochloride,Lys,0.41640934,0.1154
R2.2,300,2,5259,L.lysine.hydrochloride,Lys,0.423252505,0.0562
R2.3,300,3,5265,L.lysine.hydrochloride,Lys,0.396750948,0.1382
R2.4,300,4,5269,L.lysine.hydrochloride,Lys,0.432731764,0.1809
R2.5,300,5,5273,L.lysine.hydrochloride,Lys,0.401012876,0.095
R2.6,300,6,5277,L.lysine.hydrochloride,Lys,0.442850087,0.1711
R3.1,400,1,5254,L.lysine.hydrochloride,Lys,0.455596728,0.1191
R3.2,400,2,5260,L.lysine.hydrochloride,Lys,0.447135642,0.0757
R3.3,400,3,5266,L.lysine.hydrochloride,Lys,0.364763577,0.0701
R3.4,400,4,5270,L.lysine.hydrochloride,Lys,0.378236225,0.1007
R3.5,400,5,5274,L.lysine.hydrochloride,Lys,0.412273053,0.1111
R3.6,400,6,5278,L.lysine.hydrochloride,Lys,0.442257347,0.1295
R4.1,500,1,5255,L.lysine.hydrochloride,Lys,0.446322522,0.1389
R4.2,500,2,5261,L.lysine.hydrochloride,Lys,0.402188084,0.0883
R4.3,500,3,5267,L.lysine.hydrochloride,Lys,0.444068983,0
R4.4,500,4,5271,L.lysine.hydrochloride,Lys,0.33723331,0
R4.5,500,5,5275,L.lysine.hydrochloride,Lys,0.419999281,0.1212
R4.6,500,6,5279,L.lysine.hydrochloride,Lys,0.478467705,0.1192
R0.1,0,1,5250,L.Malic.acid,Mal,3.251731391,0.5877
R0.2,0,2,5256,L.Malic.acid,Mal,1.446202791,0.467
R0.3,0,3,5262,L.Malic.acid,Mal,2.149228638,0.6398
R0.4,0,4,5263,L.Malic.acid,Mal,1.794991324,0.6248
R0.5,0,5,5251,L.Malic.acid,Mal,2.516448435,0.5315
R0.6,0,6,5257,L.Malic.acid,Mal,2.223846591,0.5152
R1.1,200,1,5252,L.Malic.acid,Mal,1.430045153,0.5689
R1.2,200,2,5258,L.Malic.acid,Mal,1.496673559,0.4757
R1.3,200,3,5264,L.Malic.acid,Mal,1.453957432,0.6147
R1.4,200,4,5268,L.Malic.acid,Mal,1.439212484,0.0002
R1.5,200,5,5272,L.Malic.acid,Mal,1.234955169,0.6449
R1.6,200,6,5276,L.Malic.acid,Mal,2.279523055,0.6198
R2.1,300,1,5253,L.Malic.acid,Mal,1.299065178,0.5612
R2.2,300,2,5259,L.Malic.acid,Mal,1.116374302,0.4868
R2.3,300,3,5265,L.Malic.acid,Mal,2.31544195,0.6788
R2.4,300,4,5269,L.Malic.acid,Mal,1.626260782,0.6605
R2.5,300,5,5273,L.Malic.acid,Mal,1.673145834,0.6023
R2.6,300,6,5277,L.Malic.acid,Mal,1.898982858,0.6517
R3.1,400,1,5254,L.Malic.acid,Mal,1.651439227,0.5305
R3.2,400,2,5260,L.Malic.acid,Mal,1.32110285,0.4852
R3.3,400,3,5266,L.Malic.acid,Mal,1.558007019,0.6028
R3.4,400,4,5270,L.Malic.acid,Mal,0.962801238,0.575
R3.5,400,5,5274,L.Malic.acid,Mal,2.047136315,0.6457
R3.6,400,6,5278,L.Malic.acid,Mal,2.291196139,0.5893
R4.1,500,1,5255,L.Malic.acid,Mal,1.437416063,0.5806
R4.2,500,2,5261,L.Malic.acid,Mal,1.339533672,0.579
R4.3,500,3,5267,L.Malic.acid,Mal,1.696688074,0
R4.4,500,4,5271,L.Malic.acid,Mal,0.587644503,0.286
R4.5,500,5,5275,L.Malic.acid,Mal,1.893763823,0.6281
R4.6,500,6,5279,L.Malic.acid,Mal,2.242308025,0.5597
R0.1,0,1,5250,N.Acetyl.D.glucosamine,NADG,0.565158825,0.193
R0.2,0,2,5256,N.Acetyl.D.glucosamine,NADG,0.545681635,0.1622
R0.3,0,3,5262,N.Acetyl.D.glucosamine,NADG,0.503940704,0.2543
R0.4,0,4,5263,N.Acetyl.D.glucosamine,NADG,0.469763719,0.2114
R0.5,0,5,5251,N.Acetyl.D.glucosamine,NADG,0.632102149,0.2411
R0.6,0,6,5257,N.Acetyl.D.glucosamine,NADG,0.606241696,0.2088
R1.1,200,1,5252,N.Acetyl.D.glucosamine,NADG,0.586996505,0.2887
R1.2,200,2,5258,N.Acetyl.D.glucosamine,NADG,0.632210569,0.2738
R1.3,200,3,5264,N.Acetyl.D.glucosamine,NADG,0.462557211,0.2217
R1.4,200,4,5268,N.Acetyl.D.glucosamine,NADG,0.427988885,0.1169
R1.5,200,5,5272,N.Acetyl.D.glucosamine,NADG,0.454644843,0.2472
R1.6,200,6,5276,N.Acetyl.D.glucosamine,NADG,0.479254601,0.1968
R2.1,300,1,5253,N.Acetyl.D.glucosamine,NADG,0.496078599,0.2217
R2.2,300,2,5259,N.Acetyl.D.glucosamine,NADG,0.518952172,0.1838
R2.3,300,3,5265,N.Acetyl.D.glucosamine,NADG,0.432980901,0.2091
R2.4,300,4,5269,N.Acetyl.D.glucosamine,NADG,0.472097944,0.2397
